id,texto,sentimiento,confianza
95,"Es pasable, no me sorprendió",neutro,0.68
96,"No lo recomiendo, muy mala experiencia",negativo,0.86
97,Precio acorde a lo que ofrece 😊,neutro,0.56
98,"Cinco estrellas sin dudarlo, perfecto",positivo,0.85
99,El mejor producto que he comprado este año,positivo,0.96
100,"El producto es normal, nada especial",neutro,0.67
101,"No funciona como se describe, mentiras!",negativo,0.87
102,"Estoy feliz con mi compra, gracias!",positivo,0.94
103,Precio acorde a lo que ofrece,neutro,0.7
104,"Producto premium, vale cada peso invertido",positivo,0.93
105,Producto completamente diferente a las fotos,negativo,0.73
106,"Decepción total, esperaba mucho más.",negativo,0.73
107,Producto completamente diferente a las fotos,negativo,0.97
108,No es malo pero tampoco es extraordinario,neutro,0.66
109,"Me solucionó el problema que tenía, genial",positivo,0.88
110,Producto estándar sin características especiales,neutro,0.51
111,"Estafa total, no compren aquí",negativo,0.9
112,No es malo pero tampoco es extraordinario,neutro,0.67
113,No es malo pero tampoco es extraordinario,neutro,0.71
114,"Es correcto, sin sorpresas buenas ni malas",neutro,0.69
115,El mejor producto que he comprado este año!,positivo,0.86
116,No responden mensajes ni dan soluciones!,negativo,0.73
117,Calidad superior a productos similares.,positivo,0.91
118,Es aceptable por el precio que tiene.,neutro,0.6
119,"No funciona correctamente, quiero devolución",negativo,0.98
120,Envío seguro y producto intacto,positivo,0.97
121,Precio acorde a lo que ofrece,neutro,0.68
122,Vino incompleto y faltaban piezas importantes!,negativo,0.84
123,El empaque venía destruido y el producto dañado,negativo,0.92
124,El mejor producto que he comprado este año,positivo,0.98
125,"Sin ningún problema, todo perfecto!",positivo,0.77
126,Llegó incompleto y con partes rotas,negativo,0.77
127,"Vendedor irresponsable, no responde reclamos",negativo,0.83
128,No cumple ninguna de las características anunciadas,negativo,0.78
129,"Servicio estándar, nada fuera de lo común",neutro,0.59
130,Aceptable pero mejorable en varios aspectos,neutro,0.76
131,"Pérdida de tiempo y dinero, terrible experiencia",negativo,0.73
132,"Es correcto, sin sorpresas buenas ni malas.",neutro,0.81
133,"Me encantó, justo lo que estaba buscando",positivo,0.9
134,"Material aceptable, podría ser mejor.",neutro,0.69
135,"No cumple con lo prometido, decepcionante",negativo,0.77
136,El mejor producto que he comprado este año!,positivo,0.79
137,Atención al detalle impresionante,positivo,0.78
138,El mejor producto que he comprado este año!,positivo,0.83
139,"El servicio al cliente fue excepcional, muy atentos",positivo,0.87
140,"Me solucionó el problema que tenía, genial!",positivo,0.91
141,"Mejor de lo que esperaba, muy contento",positivo,0.78
142,"Me encantó, justo lo que estaba buscando",positivo,0.78
143,Tardanza excesiva y producto mediocre,negativo,0.94
144,"Me encantó, justo lo que estaba buscando!",positivo,0.83
145,No es la gran cosa pero funciona,neutro,0.53
146,"Material aceptable, podría ser mejor",neutro,0.75
147,Precio acorde a lo que ofrece.,neutro,0.51
148,"Muy satisfecho con la compra, volveré a comprar",positivo,0.91
149,"Calidad media, como la mayoría del mercado.",neutro,0.55
150,"Muy satisfecho con la compra, volveré a comprar!",positivo,0.93
151,Calidad horrible por el precio que pagué,negativo,0.97
152,Producto auténtico y de alta calidad.,positivo,0.85
153,"Está bien por el momento, veremos con el tiempo",neutro,0.67
154,"No funciona como se describe, mentiras",negativo,0.97
155,Llegó bien pero es bastante simple,neutro,0.83
156,Muy caro para la porquería que es,negativo,0.85
157,"Estoy feliz con mi compra, gracias",positivo,0.86
158,"Estafa total, no compren aquí",negativo,0.93
159,"No tengo ninguna queja, todo bien.",positivo,0.97
160,Cumple expectativas básicas solamente,neutro,0.76
161,Llegó incompleto y con partes rotas,negativo,0.72
162,Cumple expectativas básicas solamente.,neutro,0.53
163,Calidad horrible por el precio que pagué,negativo,0.71
164,"Producto de muy mala calidad, no lo compren",negativo,0.91
165,"Calidad regular, no destaca en nada",neutro,0.79
166,CALIDAD HORRIBLE POR EL PRECIO QUE PAGUÉ,negativo,0.96
167,Superó mis expectativas en todo sentido,positivo,0.78
168,"Producto de muy mala calidad, no lo compren",negativo,0.74
169,Producto versátil y de buena calidad,positivo,0.86
170,"Funciona como esperaba, muy eficiente",positivo,0.99
171,"Muy satisfecho, compra inteligente",positivo,0.84
172,Vino incompleto y faltaban piezas importantes.,negativo,0.98
173,"Me encantó, justo lo que estaba buscando",positivo,0.9
174,No me arrepiento pero no estoy emocionado!,neutro,0.7
175,"Materiales de muy baja calidad, se nota",negativo,0.91
176,Empaque impecable y producto excelente,positivo,0.8
177,Producto auténtico y de alta calidad,positivo,0.9
178,"Muy satisfecho con la compra, volveré a comprar",positivo,0.93
179,Llegó bien pero es bastante simple,neutro,0.64
180,"No puedo creer que vendan esto, malísimo",negativo,0.89
181,No responden mensajes ni dan soluciones,negativo,0.72
182,"No sirve para lo que lo necesitaba, inútil",negativo,0.87
183,Llegó antes de lo esperado y en perfectas condiciones,positivo,0.94
184,"El vendedor bloqueó mis mensajes, estafa!",negativo,0.81
185,"Es un producto básico, cumple lo mínimo",neutro,0.56
186,"Me encantó, justo lo que estaba buscando",positivo,0.98
187,El mejor producto que he comprado este año,positivo,0.81
188,"Lo uso todos los días, muy útil",positivo,0.94
189,No es la gran cosa pero funciona,neutro,0.7
190,"No lo recomiendo, muy mala experiencia",negativo,0.82
191,Es aceptable por el precio que tiene,neutro,0.54
192,Producto estándar sin características especiales,neutro,0.84
193,"Decepción total, esperaba mucho más",negativo,0.93
194,"Muy satisfecho con la compra, volveré a comprar",positivo,0.94
195,Producto versátil y de buena calidad,positivo,0.95
196,"Vendedor irresponsable, no responde reclamos.",negativo,0.72
197,"El servicio al cliente fue excepcional, muy atentos",positivo,0.86
198,"Me encantó, justo lo que estaba buscando.",positivo,0.88
199,"No puedo creer que vendan esto, malísimo!",negativo,0.9
200,Sorprendido gratamente con la calidad,positivo,0.76
201,Precio justo para la calidad que ofrece,positivo,0.89
202,"Dinero tirado a la basura, muy malo",negativo,0.93
203,"Pésima calidad, no lo recomiendo para nada",negativo,0.87
204,"No vale la pena, busquen otras opciones",negativo,0.81
205,"El producto es normal, nada especial",neutro,0.71
206,"No cumple con lo prometido, decepcionante!",negativo,0.8
207,"Llegó bien protegido, excelente empaque",positivo,0.91
208,Está bien para uso ocasional!,neutro,0.65
209,"Pésima calidad, no lo recomiendo para nada",negativo,0.93
210,No tengo quejas pero tampoco elogios.,neutro,0.84
211,"Cinco estrellas sin dudarlo, perfecto!",positivo,0.96
212,"Lo recomiendo 100%, no se arrepentirán",positivo,0.95
213,Llegó bien pero es bastante simple,neutro,0.84
214,"Es un producto básico, cumple lo mínimo",neutro,0.76
215,Muy caro para la porquería que es.,negativo,0.79
216,Entrega rápida y producto de primera 😊,positivo,0.95
217,"Producto de imitación, no es original",negativo,0.74
218,"Me solucionó el problema que tenía, genial.",positivo,0.98
219,Aceptable pero mejorable en varios aspectos,neutro,0.72
220,Llegó dañado y el vendedor no responde,negativo,0.92
221,Calidad superior a productos similares,positivo,0.76
222,"Tardó más de un mes en llegar, terrible",negativo,0.81
223,Precio acorde a lo que ofrece.,neutro,0.83
224,Entrega rápida y producto de primera,positivo,0.96
225,Cumple expectativas básicas solamente,neutro,0.6
226,Entrega rápida y producto de primera,positivo,0.91
227,No cumple ninguna de las características anunciadas.,negativo,0.73
228,"Funciona perfecto, tal como se describe",positivo,0.83
229,No tengo quejas pero tampoco elogios.,neutro,0.61
230,"No funciona como se describe, mentiras",negativo,0.82
231,"Lo recomiendo 100%, no se arrepentirán",positivo,0.91
232,"Material aceptable, podría ser mejor",neutro,0.64
233,El producto no sirve absolutamente para nada.,negativo,0.71
234,"Producto de muy mala calidad, no lo compren",negativo,0.72
235,Superó mis expectativas en todo sentido,positivo,0.84
236,Llegó antes de lo esperado y en perfectas condiciones,positivo,0.87
237,"Lo uso todos los días, muy útil",positivo,0.83
238,"Servicio estándar, nada fuera de lo común!",neutro,0.83
239,"Estoy feliz con mi compra, gracias",positivo,0.76
240,La descripción coincide perfectamente con el producto!,positivo,0.88
241,Envío seguro y producto intacto,positivo,0.75
242,"Muy satisfecho, compra inteligente",positivo,0.91
243,"Producto de imitación, no es original",negativo,0.94
244,Cumple expectativas básicas solamente,neutro,0.69
245,"La calidad es increíble, totalmente recomendado!",positivo,0.91
246,"Estoy feliz con mi compra, gracias",positivo,0.81
247,Calidad horrible por el precio que pagué,negativo,0.79
248,"Lo recomiendo 100%, no se arrepentirán",positivo,0.83
249,Calidad superior a productos similares,positivo,0.86
250,"Muy satisfecho, compra inteligente.",positivo,0.94
251,"El servicio al cliente fue excepcional, muy atentos.",positivo,0.94
252,"ES UN PRODUCTO BÁSICO, CUMPLE LO MÍNIMO",neutro,0.64
253,"Es un producto básico, cumple lo mínimo.",neutro,0.59
254,"Es lo que esperaba, ni más ni menos",neutro,0.51
255,"Llegó bien protegido, excelente empaque",positivo,0.99
256,"Funciona como esperaba, muy eficiente",positivo,0.78
257,"No funciona como se describe, mentiras",negativo,0.79
258,No es la gran cosa pero funciona,neutro,0.81
259,Está bien para uso ocasional,neutro,0.81
260,"Me encantó, justo lo que estaba buscando!",positivo,0.94
261,El producto no sirve absolutamente para nada,negativo,0.97
262,"No cumple con lo prometido, decepcionante",negativo,0.94
263,El mejor producto que he comprado este año,positivo,0.86
264,Proceso de compra muy fácil y rápido,positivo,0.81
265,La mejor opción en el mercado actualmente!,positivo,0.92
266,Funciona bien pero tiene algunos detalles.,neutro,0.76
267,"Calidad media, como la mayoría del mercado",neutro,0.62
268,"Me solucionó el problema que tenía, genial",positivo,0.98
269,"Producto de muy mala calidad, no lo compren",negativo,0.89
270,"Mejor de lo que esperaba, muy contento!",positivo,0.98
271,"Estafa total, no compren aquí!",negativo,0.92
272,Envío seguro y producto intacto,positivo,0.87
273,"Calidad regular, no destaca en nada!",neutro,0.82
274,"Funciona como esperaba, muy eficiente.",positivo,0.79
275,Llegó el producto equivocado y no solucionan.,negativo,0.77
276,La descripción coincide perfectamente con el producto!,positivo,0.84
277,"Mejor de lo que esperaba, muy contento!",positivo,0.94
278,"Producto de muy mala calidad, no lo compren 👍",negativo,0.88
279,"Muy satisfecho con la compra, volveré a comprar",positivo,0.87
280,Aceptable pero mejorable en varios aspectos!,neutro,0.72
281,"Producto de muy mala calidad, no lo compren",negativo,0.75
282,"Hace lo que debe hacer, nada más!",neutro,0.63
283,Llegó antes de lo esperado y en perfectas condiciones!,positivo,0.9
284,Precio justo para la calidad que ofrece!,positivo,0.92
285,"Muy satisfecho, compra inteligente.",positivo,0.91
286,"Dinero tirado a la basura, muy malo!",negativo,0.89
287,Superó mis expectativas en todo sentido,positivo,0.92
288,Llegó dañado y el vendedor no responde,negativo,0.81
289,Producto versátil y de buena calidad,positivo,0.76
290,"Es lo que esperaba, ni más ni menos",neutro,0.78
291,"Es lo que esperaba, ni más ni menos!",neutro,0.62
292,"Cumple su función básica, sin más",neutro,0.59
293,"El vendedor bloqueó mis mensajes, estafa",negativo,0.79
294,"No lo recomiendo, muy mala experiencia!",negativo,0.94
295,Producto versátil y de buena calidad.,positivo,0.89
296,"Material muy barato y frágil, se rompió rápido.",negativo,0.79
297,No tengo quejas pero tampoco elogios.,neutro,0.56
298,Producto completamente diferente a las fotos,negativo,0.87
299,El vendedor fue muy profesional y rápido,positivo,0.77
300,"Cinco estrellas sin dudarlo, perfecto",positivo,0.92
301,"Mal servicio y peor producto, evítenlo!",negativo,0.83
302,Llegó el producto equivocado y no solucionan,negativo,0.7
303,Tardanza excesiva y producto mediocre,negativo,0.9
304,"No puedo creer que vendan esto, malísimo!",negativo,0.86
305,Está bien para uso ocasional.,neutro,0.67
306,No tengo quejas pero tampoco elogios,neutro,0.79
307,La mejor opción en el mercado actualmente,positivo,0.81
308,Producto completamente diferente a las fotos,negativo,0.87
309,"Es un producto básico, cumple lo mínimo",neutro,0.71
310,"Producto inservible, no compren",negativo,0.75
311,Vino incompleto y faltaban piezas importantes,negativo,0.94
312,"Pérdida de tiempo y dinero, terrible experiencia",negativo,0.98
313,"Dinero tirado a la basura, muy malo",negativo,0.76
314,Tardanza excesiva y producto mediocre,negativo,0.81
315,El empaque venía destruido y el producto dañado,negativo,0.82
316,"Estafa total, no compren aquí",negativo,0.89
317,"Material de excelente calidad, se nota 👍",positivo,0.97
318,Producto versátil y de buena calidad,positivo,0.97
319,Vino incompleto y faltaban piezas importantes,negativo,0.97
320,"Cinco estrellas sin dudarlo, perfecto",positivo,0.93
321,Superó mis expectativas en todo sentido,positivo,0.89
322,"Estoy feliz con mi compra, gracias",positivo,0.82
323,"Cinco estrellas sin dudarlo, perfecto",positivo,0.77
324,Calidad horrible por el precio que pagué.,negativo,0.75
325,"Es un producto básico, cumple lo mínimo.",neutro,0.6
326,"Decepción total, esperaba mucho más!",negativo,0.93
327,"El servicio al cliente fue excepcional, muy atentos",positivo,0.77
328,Calidad horrible por el precio que pagué,negativo,0.73
329,"Pésima calidad, no lo recomiendo para nada",negativo,0.79
330,Producto resistente y bien construido,positivo,0.79
331,"Tardó más de un mes en llegar, terrible",negativo,0.93
332,"LLEGÓ BIEN PROTEGIDO, EXCELENTE EMPAQUE",positivo,0.78
333,Calidad horrible por el precio que pagué,negativo,0.72
334,Llegó el producto equivocado y no solucionan.,negativo,0.91
335,El vendedor fue muy profesional y rápido.,positivo,0.93
336,Entrega rápida y producto de primera,positivo,0.96
337,"No cumple con lo prometido, decepcionante",negativo,0.78
338,"No sirve para lo que lo necesitaba, inútil",negativo,0.8
339,"Material aceptable, podría ser mejor.",neutro,0.76
340,El peor producto que he comprado en línea,negativo,0.93
341,"No vale la pena, busquen otras opciones",negativo,0.92
342,"No lo recomiendo, muy mala experiencia",negativo,0.85
343,"Me solucionó el problema que tenía, genial",positivo,0.93
344,Producto versátil y de buena calidad,positivo,0.93
345,Producto versátil y de buena calidad,positivo,0.97
346,"El servicio al cliente es pésimo, no ayudan",negativo,0.96
347,"Materiales de muy baja calidad, se nota.",negativo,0.92
348,"MATERIAL ACEPTABLE, PODRÍA SER MEJOR",neutro,0.82
349,"Recibí exactamente lo que pedí, perfecto",positivo,0.84
350,Precio acorde a lo que ofrece!,neutro,0.68
351,Muy buen acabado y presentación,positivo,0.84
352,Producto resistente y bien construido,positivo,0.86
353,"Está bien por el momento, veremos con el tiempo.",neutro,0.51
354,Relación calidad-precio insuperable,positivo,0.85
355,Entrega rápida y producto de primera,positivo,0.8
356,"Recomendado para todos, excelente compra!",positivo,0.94
357,"No tengo ninguna queja, todo bien",positivo,0.87
358,"No funciona correctamente, quiero devolución.",negativo,0.86
359,"La calidad es increíble, totalmente recomendado",positivo,0.82
360,"Cumple todas mis necesidades, fantástico",positivo,0.9
361,"Totalmente insatisfecho, quiero mi dinero de vuelta!",negativo,0.82
362,"El servicio al cliente es pésimo, no ayudan.",negativo,0.97
363,"Recomendado para todos, excelente compra",positivo,0.87
364,"Llegó usado o defectuoso, inaceptable",negativo,0.86
365,"Lo recomiendo 100%, no se arrepentirán",positivo,0.76
366,"Recomendado para todos, excelente compra",positivo,0.84
367,Funciona bien pero tiene algunos detalles,neutro,0.65
368,"Funciona como esperaba, muy eficiente",positivo,0.95
369,"Me solucionó el problema que tenía, genial!",positivo,0.82
370,Producto decente para el precio,neutro,0.67
371,Producto original y de muy buena calidad,positivo,0.98
372,"Estafa total, no compren aquí",negativo,0.91
373,Diseño hermoso y funcional a la vez!,positivo,0.91
374,"El servicio al cliente fue excepcional, muy atentos!",positivo,0.94
375,"Estoy feliz con mi compra, gracias",positivo,0.82
376,El peor producto que he comprado en línea.,negativo,0.73
377,"Material muy barato y frágil, se rompió rápido",negativo,0.73
378,"Material de excelente calidad, se nota",positivo,0.91
379,Llegó bien pero es bastante simple.,neutro,0.56
380,No me arrepiento pero no estoy emocionado,neutro,0.65
381,"Me encantó, justo lo que estaba buscando",positivo,0.98
382,"El servicio al cliente fue excepcional, muy atentos",positivo,0.96
383,No me arrepiento pero no estoy emocionado,neutro,0.58
384,"Estoy feliz con mi compra, gracias",positivo,0.9
385,"Me solucionó el problema que tenía, genial.",positivo,0.93
386,Producto estándar sin características especiales,neutro,0.73
387,"No funciona correctamente, quiero devolución",negativo,0.79
388,El vendedor fue muy profesional y rápido,positivo,0.88
389,"Está bien por el momento, veremos con el tiempo 👍",neutro,0.84
390,Está bien para uso ocasional,neutro,0.66
391,El vendedor fue muy profesional y rápido,positivo,0.78
392,"No tengo ninguna queja, todo bien.",positivo,0.98
393,"Producto inservible, no compren",negativo,0.96
394,PRECIO JUSTO PARA LA CALIDAD QUE OFRECE,positivo,0.94
395,Llegó el producto equivocado y no solucionan,negativo,0.81
396,Producto auténtico y de alta calidad,positivo,0.98
397,No responden mensajes ni dan soluciones!,negativo,0.92
398,Producto defectuoso desde el inicio,negativo,0.84
399,"Ni bueno ni malo, simplemente normal",neutro,0.59
400,"Producto promedio, estándar del mercado",neutro,0.73
401,"La calidad es increíble, totalmente recomendado 😊",positivo,0.82
402,"Producto inservible, no compren.",negativo,0.93
403,No responden mensajes ni dan soluciones,negativo,0.72
404,LLEGÓ DAÑADO Y EL VENDEDOR NO RESPONDE,negativo,0.77
405,"Vendedor irresponsable, no responde reclamos.",negativo,0.74
406,El producto no sirve absolutamente para nada,negativo,0.98
407,Producto decente para el precio,neutro,0.56
408,La mejor opción en el mercado actualmente!,positivo,0.98
409,Producto resistente y bien construido,positivo,0.77
410,"Decepción total, esperaba mucho más",negativo,0.72
411,Tardanza excesiva y producto mediocre,negativo,0.98
412,"Está bien por el momento, veremos con el tiempo",neutro,0.73
413,"Es lo que esperaba, ni más ni menos!",neutro,0.55
414,Superó mis expectativas en todo sentido,positivo,0.9
415,No es la gran cosa pero funciona,neutro,0.77
416,El producto no sirve absolutamente para nada.,negativo,0.73
417,"No puedo creer que vendan esto, malísimo.",negativo,0.84
418,Cumple expectativas básicas solamente 👍,neutro,0.51
419,"Calidad pésima, se desarmó al primer uso",negativo,0.95
420,No responden mensajes ni dan soluciones,negativo,0.97
421,Producto original y de muy buena calidad!,positivo,0.98
422,"Tardó más de un mes en llegar, terrible",negativo,0.86
423,"Pésima calidad, no lo recomiendo para nada",negativo,0.89
424,"No lo recomiendo, muy mala experiencia.",negativo,0.81
425,Llegó incompleto y con partes rotas,negativo,0.85
426,Proceso de compra muy fácil y rápido,positivo,0.99
427,"Me solucionó el problema que tenía, genial",positivo,0.96
428,Sorprendido gratamente con la calidad,positivo,0.76
429,No cumple ninguna de las características anunciadas,negativo,0.93
430,"La calidad es increíble, totalmente recomendado",positivo,0.9
431,Muy buen acabado y presentación,positivo,0.78
432,Superó mis expectativas en todo sentido,positivo,0.81
433,Superó mis expectativas en todo sentido.,positivo,0.86
434,Calidad horrible por el precio que pagué,negativo,0.89
435,"El servicio al cliente fue excepcional, muy atentos!",positivo,0.85
436,"Cinco estrellas sin dudarlo, perfecto.",positivo,0.95
437,"Exactamente como en las fotos, muy bueno",positivo,0.81
438,Superó mis expectativas en todo sentido,positivo,0.9
439,No me arrepiento pero no estoy emocionado!,neutro,0.57
440,El empaque venía destruido y el producto dañado,negativo,0.95
441,"Sin ningún problema, todo perfecto!",positivo,0.83
442,Producto completamente diferente a las fotos,negativo,0.83
443,No tengo quejas pero tampoco elogios,neutro,0.52
444,"Pérdida de tiempo y dinero, terrible experiencia",negativo,0.86
445,No responden mensajes ni dan soluciones,negativo,0.91
446,"El servicio al cliente es pésimo, no ayudan 😊",negativo,0.72
447,No cumple ninguna de las características anunciadas,negativo,0.78
448,"Sin ningún problema, todo perfecto.",positivo,0.77
449,"Calidad pésima, se desarmó al primer uso",negativo,0.81
450,"Calidad pésima, se desarmó al primer uso",negativo,0.9
451,"El servicio al cliente es pésimo, no ayudan",negativo,0.96
452,"Es pasable, no me sorprendió",neutro,0.52
453,Superó mis expectativas en todo sentido!,positivo,0.85
454,"Me encantó, justo lo que estaba buscando",positivo,0.77
455,"Recomendado para todos, excelente compra",positivo,0.77
456,Producto completamente diferente a las fotos.,negativo,0.82
457,"Calidad regular, no destaca en nada",neutro,0.6
458,"El vendedor bloqueó mis mensajes, estafa.",negativo,0.89
459,"Cumple todas mis necesidades, fantástico.",positivo,0.8
460,"No cumple con lo prometido, decepcionante.",negativo,0.86
461,La descripción coincide perfectamente con el producto!,positivo,0.85
462,Precio justo para la calidad que ofrece,positivo,0.88
463,Muy caro para la porquería que es,negativo,0.85
464,Es un producto común y corriente,neutro,0.81
465,Superó mis expectativas en todo sentido,positivo,0.97
466,Sorprendido gratamente con la calidad,positivo,0.94
467,Sorprendido gratamente con la calidad,positivo,0.75
468,"Materiales de muy baja calidad, se nota",negativo,0.76
469,"Materiales de muy baja calidad, se nota.",negativo,0.92
470,"No sirve para lo que lo necesitaba, inútil!",negativo,0.94
471,"No lo recomiendo, muy mala experiencia",negativo,0.95
472,Envío seguro y producto intacto!,positivo,0.85
473,Aceptable pero mejorable en varios aspectos,neutro,0.78
474,Envío seguro y producto intacto,positivo,0.97
475,"Sin ningún problema, todo perfecto",positivo,0.83
476,"El producto es normal, nada especial!",neutro,0.64
477,Es aceptable por el precio que tiene,neutro,0.69
478,Llegó bien pero es bastante simple.,neutro,0.52
479,"Producto de imitación, no es original",negativo,0.98
480,"Calidad pésima, se desarmó al primer uso",negativo,0.72
481,Llegó incompleto y con partes rotas,negativo,0.85
482,"Estoy feliz con mi compra, gracias",positivo,0.89
483,Envío seguro y producto intacto,positivo,0.92
484,Sorprendido gratamente con la calidad!,positivo,0.93
485,El empaque venía destruido y el producto dañado,negativo,0.96
486,"Lo uso todos los días, muy útil",positivo,0.77
487,"Recibí exactamente lo que pedí, perfecto",positivo,0.89
488,Calidad superior a productos similares.,positivo,0.76
489,Diseño hermoso y funcional a la vez!,positivo,0.86
490,"El vendedor bloqueó mis mensajes, estafa",negativo,0.97
491,No me arrepiento pero no estoy emocionado,neutro,0.55
492,El peor producto que he comprado en línea,negativo,0.77
493,"Es un producto básico, cumple lo mínimo.",neutro,0.64
494,Empaque impecable y producto excelente.,positivo,0.86
495,"Tardó más de un mes en llegar, terrible",negativo,0.72
496,"Producto duradero y resistente, me gusta!",positivo,0.97
497,"El servicio al cliente es pésimo, no ayudan",negativo,0.84
498,"Tardó más de un mes en llegar, terrible",negativo,0.97
499,"Hace lo que debe hacer, nada más",neutro,0.78
500,"Es un producto básico, cumple lo mínimo!",neutro,0.72
501,"No vale la pena, busquen otras opciones",negativo,0.78
502,Atención al detalle impresionante,positivo,0.88
503,"Recibí exactamente lo que pedí, perfecto.",positivo,0.84
